firm,website,status,careers_page,external_job_platform,opening_words_found,no_opening_phrase,result
Quadrum Capital,http://www.quadrum-capital.nl/,ok,https://www.quadrum-capital.nl/en/about-quadrum/vacancies,,"associate, internship, vacancies",open application,UNCLEAR - CHECK BY HAND
Rabo Investments,https://raboinvestments.com/nl/,ok,,,,,NO CAREERS PAGE FOUND
Rivean Capital,https://riveancapital.com/,ok,,,,,NO CAREERS PAGE FOUND
Riverside Europe,https://www.riversideeurope.com/,error: ConnectionError,,,,,CHECK BY HAND
Rockstart,https://rockstart.com/,ok,https://jobs.rockstart.com/,https://recruitee.com,"internship, open position, stage",,JOBS ON EXTERNAL PLATFORM - CHECK LINK
ROM InWest,https://rominwest.nl/,ok,,https://rominwest.homerun.co/,,,JOBS ON EXTERNAL PLATFORM - CHECK LINK
ROM Utrecht Region,https://www.romutrechtregion.nl/investeren/,error: HTTPError,,,,,CHECK BY HAND
Rubio,https://www.rubio.vc/,error: HTTPError,,,,,CHECK BY HAND
SEAM Investments,https://seaminvestments.nl/,ok,,,,,NO CAREERS PAGE FOUND
SET Ventures,http://www.setventures.com,ok,https://careers.setventures.com/jobs,,"internship, stage",,LIKELY OPENINGS
SHIFT Invest,http://www.shiftinvest.com,ok,,,,,"CAREERS PAGE, NO OPENINGS DETECTED"
Smile Invest,http://www.smile-invest.com,ok,,,,,NO CAREERS PAGE FOUND
Smile Sail & AI N.V.,https://www.smile-sail.com/,ok,,,,,NO CAREERS PAGE FOUND
Sofindev Management N.V.,https://www.sofindev.com,ok,https://www.sofindev.com/nl/jobs,,"analyst, internship, vacature",momenteel geen,UNCLEAR - CHECK BY HAND
StartGreen Capital,http://www.startgreen.nl,ok,https://startgreen.nl/werken-bij/,,"vacature, we zoeken, wij zoeken",Open sollicitatie,UNCLEAR - CHECK BY HAND
Strong Root Capital,https://www.strongrootcapital.nl/,ok,,,,,NO CAREERS PAGE FOUND
Synergia Capital Partners,http://www.synergia.nl,ok,http://www.synergia.nl/nl/vacatures,,vacature,,LIKELY OPENINGS
Thuja Capital Management,http://www.thujacapital.com,ok,,,,,NO CAREERS PAGE FOUND
TIN Capital,http://www.tiincapital.nl,error: ConnectionError,,,,,CHECK BY HAND
TNO Ventures Holding B.V.,https://ventures.tno.nl/,ok,,,,,NO CAREERS PAGE FOUND
Torqx Capital Partners,https://www.torqxcapital.com/nl/,ok,https://www.torqxcapital.com/nl/intern-programs/,,"stage, stagiair",,LIKELY OPENINGS
TransEquity Network,http://www.transequity.nl,ok,http://www.transequity.nl/vacatures,,vacature,Open sollicitatie,UNCLEAR - CHECK BY HAND
Triton,http://www.triton-partners.com,ok,http://www.triton-partners.com/careers,https://tritonpartners.wd3.myworkdayjobs.com/External,"associate, internship, open position, we are looking",,JOBS ON EXTERNAL PLATFORM - CHECK LINK
Twinning Participaties,https://www.twinningparticipaties.nl/,ok,,,,,NO CAREERS PAGE FOUND
Ufenau Capaital Partners B.V.,https://www.ucp.ch,ok,https://ucp.ch/en/career/,https://ufenau-capital-partners.jobs.personio.com/,"open position, vacancies",,JOBS ON EXTERNAL PLATFORM - CHECK LINK
VADO Beheer,https://www.vado.nl/,ok,,,,,NO CAREERS PAGE FOUND
Value Creation Capital B.V.,https://www.vcxc.com/,ok,,,,,NO CAREERS PAGE FOUND
Value Enhancement Partners,http://www.vepartners.com,ok,,,,,NO CAREERS PAGE FOUND
Value Factory Management B.V.,https://www.valuefactory.vc,ok,,,,,NO CAREERS PAGE FOUND
Vendis Capital Management,http://www.vendiscapital.com,ok,,,,,NO CAREERS PAGE FOUND
Victus Participations,https://victusparticipations.com/,ok,,,,,NO CAREERS PAGE FOUND
Volve Capital,https://www.volve.capital/,ok,https://volve.capital/volve-capital-closes-its-first-e9-million-fund-to-back-tech-foundersat-the-earliest-stages/,,stage,,LIKELY OPENINGS
Vortex Capital Partners,http://www.vortexcp.com,ok,https://vortexcp.com/careers/,,"internship, open position",,LIKELY OPENINGS
VP Capital,https://vpcapital.eu/en/,ok,,,,,NO CAREERS PAGE FOUND
Wadinko,http://www.wadinko.nl,ok,,,,,NO CAREERS PAGE FOUND
Warburg Pincus B.V.,https://www.warburgpincus.com/,ok,https://warburgpincus.com/careers/,,stage,,LIKELY OPENINGS
Waterland Private Equity Investments,http://www.waterland.nu,ok,https://www.waterlandpe.com/nl/carrieres/,,"associate, internship, stage, vacature, we zoeken",,LIKELY OPENINGS
